Store No		Address		Order Quantity
1		00007FF6ABEDB700		42
2		00007FF6ABEDB708		68
3		00007FF6ABEDB710		35
4		00007FF6ABEDB718		1
5		00007FF6ABEDB720		70
6		00007FF6ABEDB728		25
7		00007FF6ABEDB730		79
8		00007FF6ABEDB738		59
9		00007FF6ABEDB740		63
10		00007FF6ABEDB748		65
Assigned delivery route
Store No		Address		Order Quantity
7		00007FF6ABEDB700		79
4		00007FF6ABEDB708		1
5		00007FF6ABEDB710		70
1		00007FF6ABEDB718		42
2		00007FF6ABEDB720		68
9		00007FF6ABEDB728		63
10		00007FF6ABEDB730		65
3		00007FF6ABEDB738		35
6		00007FF6ABEDB740		25
8		00007FF6ABEDB748		59
Remaining Quantity:493
